"","text"
"1","info sewa perlengkan bayi serti stroller kursimakan box bayi breastmdll hubungi wa   "
"2","info sewa perlengkan bayi serti stroller kursimakan box bayi breastmdll hubungi wa   "
"3","info sewa perlengkan bayi serti stroller kursimakan box bayi breastmdll hubungi wa   "
"4","info sewa perlengkan bayi serti stroller kursimakan box bayi breastmdll hubungi wa   "
"5","mari  doakan temanteman didaerah batu   mengalami musibah banjir semoga  kesehatan ketabah "
"6","sahabat banser  malam   kegiatan nanggulangan bencana banjir bandang  kota batu tetnya  buluke "
"7","prayforbatu semangat  temen    batu    an     insyalla "
"8","mari  alihkan rhatian  keda sodara   batu  terkena musibah banjir bandang semoga lekas memba "
"9","korban banjir bandang kota batu bertambah total  orang tewasayforbatu"
"10","sending my ayers and deecondolences for all the family stay safe for everyone  kaget aja ama berita in "
"11","sayangnya   bebera temt  kawasan malang raya  dilanda banjir yuk kawanjo mari  doakan aga "
"12"," berdukacita  bencana banjir  batu    tinggal  batu   semoga   kesaba "
"13","banjir bandang  batu kali  adl yg rtama kali ku lihat    hiduu  cukuprayforbatu ta ayo b "
"14"," sikakita   mengekoitasi bumi      kota batu yg  nya   dek "
"15"," becandaan langit turunkan hujan  tir   aja ta   orang yg  mengal "
"16","semoga  lih    kota wisata yg    aminn prayforbatu"
"17","banjir bandang  kota batu gubernur jatim khofifah keluarga  instruksi penanganankhofifah banjirbandang "
"18","ayforbatu   bencana   menyebabkan  orang dirkirakan hanyut  orang meninggal dunia  ora "
"19","gausah  langit turunkan hujan maneh omah e mbah ku meh kenyut cok ayforbatu"
"20"," doa nya temanteman  musibah banjir bandang    kota batu rumah    daerah kec bumi "
"21","ayforbatu sahabat mari duli bencana banjir   bantu masyarakat terdamk banjir ringankan duka s "
"22","semoga  ketabahan  yg tinggal  malang  batu a kabar rumah kontrakanku  bumiaji  prayforbatu"
"23","kamis gi langsung cabut  kota malang  kota batu  cuaca udah mendung banget  feeling gak enak a "
"24","sore kinanakku mari   menundukkan kela  mendoakan masyarakat batu   mengalami musibah "
"25","pray for kota batu malang   praybatumalang prayforbatu"
"26"," kota batu  dataran   banjir bandang segitu ngerinyaayforbatu"
"27","ya allah  semoga d lindungi   al fatihah ayforbatu"
"28","semoga  musibah cet   follow akunkuu yaaa kawankuprayforbatu"
"29","semoga  cet membaik  lih  korban   kekuatan prayforbatu"
"30","prayforbatu semoga lekas membaik"
"31","detik detik tenggelamnya rahu tambang  semambung kanor bojonegorojawa timur musibah  menewaskan   "
"32","   terkena damk bencana semoga   rlindungan  allah swt prayforbatu"
"33","semoga  ketabahan  keluarga  terdamk bencana banjir bandang prayforbatu"
"34"," rcetan nanganan banjir bandang kota batu bnpb kirimkan bantuan meliti selimut  lembar tenda ngu "
"35","  motoran  sdh  gini  cari masjid  warung makan trauma  rnah lihat laka s "
"36","gua buka twt liat   trending kaget jujursemoga  doakan saudara saudara  didaerah batu   me "
"37"," s ngeliat berita  banjir bandang  daerah  kekiran  kota  kyknya batu gabakal banjir "
"38","    mendoakan    ta  mendoakan orang   terkena musibahlengka "
"39","      rnah menginjakkan kaki  kota batu malang    jalan kesana  "
"40","aaaa serem banget liatnya stay safe ya  kondisi alam emang gak  gaada  tau  gimana kondi "
"41","bebera tim siaga  relawan  bismillah hati  salam kemanusiaanprayforbatu"
"42","menebar emti kelak   barang bukti bahwasannya  membutuhkan    memiliki janji "
"43","alhamdulillah wa syukurilah banget kemarin  liburan  malangbatu  dilindungi  diselamatkan allah swt "
"44","air hujan  rnah berubah  bandang kecuali manusia  mengundangprayforbatu"
"45"," berdukacita  batufolded handsprayforbatu"
"46","kota batu diterjang banjir bandang banser evakuasi korban  dirikan posko bantuanbansertanggaencana "
"47","banjir bandang  kota batu malang kota batu batu banjir malang jawa timur prayforbatu"
"48","soba tetawasda  hati hati  beraktivitas   cuaca  kondisi sedia yung  hujan ya sobat prayforbatu"
"49","lokasi giat banser tanggabencana  sungai sambong bulukerto kec bumiaji kota batubansertanggaencanaprayforbatu"
"50","semangat gotong royong  budaya nusantaraprayforbatu"
"51"," berduka cita   bencana alam  kota batumalang semoga  terkena musibah   k "
"52","stay safe for everyone mari luangkan    mendoakan saudara  kota batu  bencana banjir bandan "
"53","kalo   bencana gini  rachel vennya  ling gerce   dicari ra donatur   "
"54","prayforbatumulai berbenah    "
"55","semoga saudarasaudara   batu malang  ketabahanprayforbatu"
"56","giat jausan  nov   bencana banjir bandang batu am malang membantu nyisiran sungai brantas  daerah bumiaji "
"57","serti    tanggal  november  kota batu terkena musibah banjir bandangdi nghujung   "
